
---------- Begin Simulation Statistics ----------
simSeconds                                   1.522962                       # Number of seconds simulated (Second)
simTicks                                 1522962185217                       # Number of ticks simulated (Tick)
finalTick                                1522962185217                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2828.35                       # Real time elapsed on the host (Second)
hostTickRate                                538463054                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2286848                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1177819171                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   353563                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     416433                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        456934350                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1298573737                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      110                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1264076767                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2821                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            120754606                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         317427369                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  14                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           456933233                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.766436                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.236554                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  87211442     19.09%     19.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  62896998     13.77%     32.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  86833647     19.00%     51.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  70441341     15.42%     67.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  51770443     11.33%     78.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  29738102      6.51%     85.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  35365790      7.74%     92.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  13182330      2.88%     95.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  19493140      4.27%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             456933233                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7089152     75.90%     75.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     75.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     75.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     75.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     75.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     75.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     75.90% # attempts to use FU when none available (Count)
